portNo,portName
10741,Bahia De Jobos
10742,Las Mareas
10743,Playa De Ponce
10744,Playa De Guayanilla
10745,Playa De Guanica
10746,Mayaguez
10747,Charlotte Amalie
10748,Cruz Bay
10749,Frederiksted
10750,Limetree Bay
10751,Port Alucroix
10752,Christiansted
10753,Road Harbor
10754,Baie Du Marigot
10755,Phillipsburg
10756,Coles Bay Oil Terminal
10757,Gustavia
10758,Oranjestad
10759,Basseterre
10760,Charlestown
10761,St Johns
10762,Pointe A Pitre
10763,Basse Terre
10764,Port Louis
10765,Roseau
10766,Portsmouth
10767,Fort De France
10768,Vieux Fort
10769,Grand Cul De Sac Bay
10770,Castries
10771,Kingstown
10772,St George'S
10773,Bridgetown
10774,Scarborough
10775,Chaguaramas
10776,Anse Tembladora
10777,Port Of Spain
10778,Point Lisas Port
10779,Pointe A Pierre
10780,Point Lisas Industrial Port
10781,Brighton
10782,Point Fortin
10783,Galeota Point Terminal
10784,Kralendijk
10785,Goto Oil Terminal
10786,Salina
10787,Caracasbaai
10788,Willemstad
10789,Bullen Baai
10790,Sint Michelsbaai
10791,Sint Nicolaas Baai
10792,Paarden Baai - (Oranjestad)
10793,Turbo
10794,Covenas
10795,Covenas Offshore Term.
10796,Mamonal
10797,El Bosque
10798,Cartagena
10799,Barranquilla
10800,Puerto Prodeco
10801,Pozos Colorados
10802,Santa Marta
10803,Puerto Bolivar
10804,Maracaibo
10805,San Lorenzo
10806,La Salina
10807,Punta De Palmas
10808,Bajo Grande
10809,Puerto Miranda
10810,El Tabiazo
10811,Punta Cardon
10812,Las Piedras
10813,Amuay (Bahia De Amuay)
10814,Puerto Cumarebo
10815,Puerto Chichiriviche
10816,El Palito
10817,Venterminals
10818,Puerto Cabello
10819,Puerto Borburata
10820,Catia La Mar
10821,La Guaira
10822,Jose Terminal
10823,Puerto La Cruz
10824,Guanta
10825,Bahia De Pertigalete
10826,Cumana (Puerto Sucre)
10827,El Guamache
10828,Carupano
10829,Guiria
10830,Puerto De Hierro
10831,Caripito
10832,Palua
10833,Puerto Ordaz
10834,Ciudad Bolivar
10835,Georgetown
10836,Linden
10837,New Amsterdam
10838,Nieuw Nickerie
10839,Paramaribo
10840,Paranam
10841,Moengo
10842,Degrad Des Cannes
10843,Porto Santana
10844,Belem
10845,Vila Do Conde
10846,Cameta
10847,Santarem
10848,Itacoatiara
10849,Manaus
10850,Iquitos
10851,Itaqui
10852,Tutoia
10853,Camocim
10854,Porto De Mucuripe
10855,Guamare Oil Terminal
10856,Natal
10857,Cabedelo
10858,Recife
10859,Porto De Suape
10860,Porto De Maceio
10861,Port De Aracaju
10862,Port De Salvador
10863,Aratu
10864,Madre De Deus
10865,Port Of Ilheus
10866,Portocel
10867,Vitoria
10868,Tubarao
10869,Santa Clara
10870,Macae
10871,Dtse / Gegua Oil Terminal
10872,Porto Do Forno
10873,Rio De Janeiro
10874,Niteroi
10875,Guaiba Island Terminal
10876,Angra Dos Reis
10877,Gebig
10878,Sao Sebastiao
10879,Santos
10880,Paranagua
10881,Sao Francisco
10882,Itajai
10883,Imbituba
10884,Laguna
10885,Tramandai
10886,Rio Grande
10887,Pelotas
10888,Porto Alegre
10889,La Paloma
10890,Jose Ignacio
10891,Montevideo
10892,Puerto Sauce
10893,Colonia
10894,Nueva Palmira
10895,Fray Bentos
10896,Paysandu
10897,Puerto De Asuncion
10898,Santa Fe
10899,Parana
10900,Diamante
10901,Puerto San Martin
10902,San Lorenzo
10903,Rosario
10904,Villa Constitucion
10905,San Nicolas
10906,Ramallo
10907,San Pedro
10908,Puerto Ibicuy
10909,Zarate
10910,Campana
10911,Concordia
10912,Colon
10913,Concepcion Del Uruguay
10914,Buenos Aires
10915,La Plata
10916,Mar Del Plata
10917,Quequen
10918,Puerto Rosales
10919,Puerto Belgrano
10920,Bahia Blanca
10921,Puerto Ingeniero White
10922,Puerto Nacional
10923,Puerto Galvan
10924,San Blas
10925,Puerto Madryn
10926,Comodoro Rivadavia
10927,Puerto Deseado
10928,Puerto San Julian
10929,Puerto Santa Cruz
10930,Puerto Gallegos
10931,San Sebastian Bay
10932,Rio Grande
10933,Ushuaia
10934,Villa Constitucion
10935,Stanley
10936,Prince Olav Harbor
10937,Stromness Harbor
10938,Grytviken
10939,Puerto Williams
